song,artist,energy,valence
"Where I Wanna Be","Donell Jones",0.396,0.453
"Only Time",Enya,0.249,0.213
Love,"Musiq Soulchild",0.385,0.339
Eternity,"Robbie Williams",0.316,0.199
"Say Yes",Floetry,0.398,0.428
Everytime,"Britney Spears",0.284,0.114
"My Immortal",Evanescence,0.265,0.101
"The Closest Thing to Crazy","Katie Melua",0.219,0.106
"Mad World (Feat. Michael Andrews)","Gary Jules",0.0581,0.304
"Nine Million Bicycles","Katie Melua",0.247,0.344
"You Raise Me Up",Westlife,0.358,0.172
"I'm Sprung",T-Pain,0.329,0.166
Unfaithful,Rihanna,0.391,0.349
"Goodbye My Lover","James Blunt",0.261,0.273
"The Rose",Westlife,0.203,0.172
"Hey There Delilah","Plain White T's",0.291,0.298
"Bartender (feat. Akon)",T-Pain,0.394,0.405
"I Luv Your Girl",The-Dream,0.322,0.0406
"Empire State of Mind (Part II) Broken Down","Alicia Keys",0.368,0.142
